text,date,link
,2023-05-17T06:11:14Z,https://www.elmundo.es/yodona/actualidad/2023/05/17/6454fd9421efa0c34b8b45a1.html
,2023-08-05CEST18:55:14,https://www.elmundo.es/uestudio/2023/04/24/64469f12fc6c834b088b45a2.html
,2022-09-23T09:28:39Z,https://www.elmundo.es/yodona/lifestyle/2022/09/23/632d688e21efa05e448b45e4.html
,2022-09-13T12:25:08Z,https://www.elmundo.es/yodona/actualidad/2022/09/13/6320647afc6c8335058b45ba.html
,2022-06-24T11:09:07Z,https://www.elmundo.es/yodona/belleza/2022/06/23/62b07e4afdddffee298b4595.html
,2022-06-08T08:22:18Z,https://www.elmundo.es/yodona/actualidad/2022/06/08/62a05c0dfdddff77b08b45ac.html
,2022-04-19T09:45:44Z,https://www.elmundo.es/yodona/actualidad/2022/04/19/625e81f1e4d4d84f4a8b4594.html
,2022-04-13T09:48:22Z,https://www.elmundo.es/yodona/actualidad/2022/04/13/6255955ffc6c835b6a8b4572.html
,2022-04-05T06:17:49Z,https://www.elmundo.es/yodona/lifestyle/2022/03/23/623b5b88e4d4d84b618b457f.html
,2022-03-19T07:10:14Z,https://www.elmundo.es/yodona/lifestyle/2022/03/18/6230603bfdddffe8858b45a2.html
,2021-08-08T15:33:12Z,https://www.elmundo.es/comunidad-valenciana/castellon/2021/08/08/610ec948fdddffb6848b45cf.html
,2021-05-24,https://www.elmundo.es/album/loc/famosos/2021/05/24/60a7b36dfdddff804d8b459d.html
,2020-11-26,https://www.elmundo.es/album/yodona/lifestyle/2020/11/25/5fbd4df2fdddff51a18b4623.html
,2020-09-13T07:15:52Z,https://www.elmundo.es/comunidad-valenciana/alicante/2020/09/13/5f5c968dfc6c83a46a8b45cf.html
,2020-01-04,https://www.elmundo.es/album/yodona/moda/2020/01/04/5e0f4822fc6c83834e8b461d.html
,2019-10-31T00:48:07Z,https://www.elmundo.es/metropoli/cine/2019/10/31/5db9885bfdddffbb578b4642.html
,2019-07-30T00:13:26Z,https://www.elmundo.es/loc/celebrities/2019/07/30/5d3ab00cfc6c83265f8b45cf.html
,2019-07-29T08:34:27Z,https://www.elmundo.es/metropoli/otros-planes/2019/07/29/5d3ead4121efa067688b4603.html
,2019-07-21T06:05:15Z,https://www.elmundo.es/comunidad-valenciana/alicante/2019/07/21/5d323a56fdddff6f588b4584.html
,2019-06-17T14:14:45Z,https://www.elmundo.es/f5/mira/2019/06/17/5d0797dd21efa0dd498b4652.html
,2019-06-12T09:33:06Z,https://www.elmundo.es/f5/comparte/2019/06/12/5d00b5ed21efa0ff058b4661.html
,2019-06-10T10:43:08Z,https://www.elmundo.es/yodona/lifestyle/2019/06/10/5cf9282bfdddff3b278b457b.html
,2019-06-05T00:12:40Z,https://www.elmundo.es/papel/historias/2019/06/05/5cf6a8b3fc6c83b8128b45d1.html
,2019-05-30T10:23:53Z,https://www.elmundo.es/f5/mira/2019/05/28/5ced465efc6c83324c8b466e.html
,2019-05-24T00:09:45Z,https://www.elmundo.es/papel/futuro/2019/05/24/5ce68b24fc6c8304298b45aa.html
,2019-03-23T23:19:36Z,https://www.elmundo.es/comunidad-valenciana/2019/03/24/5c966ab921efa0ab078b45d9.html
,2019-03-22T02:01:57Z,https://www.elmundo.es/papel/historias/2019/03/22/5c938f2221efa0745a8b4613.html
,2019-03-07T11:44:42Z,https://www.elmundo.es/yodona/lifestyle/2019/03/07/5c80e9b3fdddff05738b4605.html
